recent_form,weighted_objective_diff,gspd,team kpm,result,teamname
-1.1883300825337701,-1.0289112331535488,-0.9979331269575813,-1.4461147017210725,0,LNG Esports
1.2018816249614064,0.9962920270506903,0.9979331269575813,0.3411458724663147,1,Rare Atom
-1.1883300825337701,-0.8795792653770317,-1.069800505001428,-1.4513001772748075,0,LNG Esports
1.2018816249614064,0.9742789481354269,1.069800505001428,0.4483123672435083,1,Rare Atom
1.2018816249614064,1.2729428836884609,2.819232913128476,2.2541542288317795,1,LNG Esports
-1.1883300825337701,-1.34542361107031,-2.819232913128476,-1.2706727788196992,0,Rare Atom
1.2018816249614064,0.9641648307959815,0.5980070881323807,0.31089726506952625,1,Rare Atom
-1.1883300825337701,-0.9938092965048854,-0.5980070881323807,-0.7102092960534901,0,LNG Esports
1.2018816249614064,0.40312879249615835,-0.04133041360861687,0.7434523508436012,1,JD Gaming
-1.1883300825337701,-0.38398751574420825,0.04133041360861687,0.40423582503675903,0,Top Esports
1.2018816249614064,0.5471062275635573,0.5759442579297427,0.6903012264178158,1,Top Esports
-1.1883300825337701,-0.6285111761272699,-0.5759442579297427,-0.9314562530128572,0,JD Gaming
1.2018816249614064,0.36029253082321333,0.3698448409266791,1.3886119343208179,1,JD Gaming
-1.1883300825337701,-0.2995048885558998,-0.3698448409266791,-0.7758919864008021,0,Top Esports
1.2018816249614064,0.961785038480818,1.4146274625649744,0.862286165616699,1,Top Esports
-1.1883300825337701,-1.0610384294082578,-1.4146274625649744,-1.3782713965597038,0,JD Gaming
1.2018816249614064,0.2966330863925865,0.19122180841540015,0.5105380738883302,1,JD Gaming
-1.1883300825337701,-0.3262775521014905,-0.19122180841540015,-0.3511151139573299,0,Top Esports
-1.1883300825337701,-0.7433361553339146,-0.442478652717386,-0.9012076456160687,0,Ninjas in Pyjamas
1.2018816249614064,0.6958432472612834,0.442478652717386,0.6946224560459284,1,Bilibili Gaming
-1.1883300825337701,-1.0824565602447302,-1.7307832783814925,-0.929727761161612,0,Ninjas in Pyjamas
1.2018816249614064,1.0855342388693259,1.7307832783814925,1.670356106073762,1,Bilibili Gaming
-1.1883300825337701,-1.2787894262457287,-0.9060520486989923,0.37830844726808316,0,Ninjas in Pyjamas
1.2018816249614064,1.3734891090041237,0.9060520486989923,2.6145447798163732,1,Bilibili Gaming
-1.1883300825337701,-1.0848363525598939,-0.792974642485699,-0.5014939050156497,0,Rare Atom
0.24579694196333574,1.103977629311844,0.792974642485699,1.3073728173123007,1,JD Gaming
0.24579694196333574,-0.6695625935638424,-0.3030491164599771,-1.0693034781496502,0,Rare Atom
0.24579694196333574,0.5792334238182663,0.3030491164599771,-0.01751618666703429,1,JD Gaming
0.7238392834623711,0.4340660925932855,0.38041343921053217,0.06761203700678466,1,JD Gaming
-0.23224539953569945,-0.4577610775142804,-0.38041343921053217,-1.2659194262287754,0,Rare Atom
0.7238392834623711,-1.0431899870445305,-0.2241193281433826,-0.14801732143603596,0,JD Gaming
1.2018816249614064,0.9796334808445452,0.2241193281433826,0.7071540219674551,1,Bilibili Gaming
1.2018816249614064,1.1759663468455435,2.5737163619335366,2.0225363207649423,1,Bilibili Gaming
0.7238392834623711,-1.1728886682209478,-2.5737163619335366,-1.4888948750393873,0,JD Gaming
0.24579694196333574,-0.840312692176832,-0.4461872520147541,-0.46649194502793734,0,JD Gaming
1.2018816249614064,0.8344661496195642,0.4461872520147541,1.0640875892495592,1,Bilibili Gaming
-1.1883300825337701,-0.9307448001530496,-0.08206223563808372,-0.37574612283757186,0,Team BDS
1.2018816249614064,0.9159740364139181,0.08206223563808372,0.21712658213948202,1,G2 Esports
-1.1883300825337701,-0.9140862539469041,-1.003186723263951,-1.3596901091588196,0,Rogue
1.2018816249614064,0.8993154902077728,1.003186723263951,0.1358874651309645,1,SK Gaming
-1.1883300825337701,-0.6677777493274697,-0.7814212791799161,-0.873983898958959,0,Karmine Corp
1.2018816249614064,0.6958432472612834,0.7814212791799161,0.32947855247041047,1,Fnatic
-1.1883300825337701,-0.11447603605192852,-0.29725196625004785,0.5178841642561218,0,Team Vitality
1.2018816249614064,0.09970527231279716,0.29725196625004785,1.309965555089168,1,GiantX
1.2018816249614064,1.6096834962841131,1.8871630541503186,0.8017889508231221,1,MAD Lions KOI
-1.1883300825337701,-1.6244542600232446,-1.8871630541503186,-1.7019314957053404,0,Team Heretics
-1.1883300825337701,-0.5940041875573976,-0.15480293878221024,-0.7650889123305206,0,GiantX
1.2018816249614064,0.5792334238182663,0.15480293878221024,-0.1575240266178837,1,Team BDS
-1.1883300825337701,-0.8081854959221232,-1.3576414835823165,-0.8770087596986379,0,MAD Lions KOI
1.2018816249614064,0.7934147321829919,1.3576414835823165,1.2265658232665941,1,SK Gaming
1.2018816249614064,0.8422004746438461,0.2488392802874096,0.16181484289964035,1,G2 Esports
-1.1883300825337701,-0.8569712383829773,-0.2488392802874096,0.027424601465337234,0,Karmine Corp
1.2018816249614064,1.2182076604396979,1.526400945885489,-0.11128686959707852,1,Fnatic
-1.1883300825337701,-1.2329784241788289,-1.526400945885489,-1.1306649388688497,0,Team Vitality
-1.1883300825337701,-1.4447799402283912,-1.2881241991242918,-1.584826172783488,0,Rogue
1.2018816249614064,1.4300091764892597,1.2881241991242918,0.19292769622205128,1,Team Heretics
1.2018816249614064,1.1950046853668526,1.249999616404618,1.0589021136958239,1,ION Global Esports
-1.1883300825337701,-1.2097754491059836,-1.249999616404618,-1.0075098944676395,0,FURY Global
1.2018816249614064,0.7196411704129198,1.5215946254551305,3.465394893591752,1,ION Global Esports
