Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
Movistar KOI,14,ES,56,0.554,1.08,1837,29,1900-01-01 07:59:00,15.0,13.8,6.5,6.0,50.0,42.9,47.599999999999994,2.18,48.0,2.9,35.7,47.25,0.86,0.0,168.0,3.98,0.79,52.6,32.4,2554.0,3.1,0.98,1.32,2
Movistar R7,14,LAT,81,0.679,1.28,1930,161,1900-01-01 06:54:00,16.5,12.9,7.4,4.7,56.8,74.1,47.599999999999994,2.69,65.8,3.0,54.3,47.25,0.91,0.4,1310.0,5.49,0.7,61.9,33.7,2816.0,3.4,1.23,1.58,3
Mubeccel Espor,14,TR,17,0.353,0.88,1833,-64,1900-01-01 05:34:00,15.8,17.8,5.2,6.6,29.4,52.9,47.599999999999994,1.53,38.0,3.5,37.5,47.25,0.75,-0.1,-246.0,4.31,0.59,50.0,31.5,2490.0,2.5,0.91,1.12,3
Myth Esports,14,BE,37,0.595,1.17,1891,88,1900-01-01 06:31:00,15.7,13.4,6.6,5.6,56.8,54.1,47.599999999999994,2.51,59.1,3.0,61.1,47.25,0.97,0.1,655.0,3.73,0.65,52.9,33.1,2500.0,2.8,0.84,1.33,3
NASR eSports Turkey,14,TR,28,0.286,0.78,1783,-121,1900-01-01 09:08:00,12.8,16.5,5.3,7.6,39.3,46.4,47.599999999999994,2.14,46.8,1.9,46.4,47.25,0.93,0.2,-53.0,3.86,0.61,35.7,32.6,2178.0,3.4,1.18,1.4,3
Nativz,14,EUW,28,0.357,0.88,1862,-24,1900-01-01 08:19:00,15.8,17.9,6.0,6.6,57.1,57.1,47.599999999999994,2.68,59.6,3.0,40.7,47.25,1.14,0.2,-234.0,4.07,0.75,52.5,32.5,2500.0,3.0,0.81,1.24,3
Nigma Galaxy Male,14,AL,70,0.643,1.05,1951,111,1900-01-01 06:22:00,17.9,17.1,7.0,5.3,48.6,52.9,47.599999999999994,2.33,54.1,2.7,57.1,47.25,1.04,-0.1,-153.0,5.07,0.67,54.1,33.4,2773.0,2.9,0.94,1.43,3
Ninjas in Pyjamas,14,CN,124,0.508,1.06,1845,3,1900-01-01 08:08:00,13.7,12.9,6.2,6.0,61.3,37.1,47.599999999999994,2.25,51.4,2.6,44.8,47.25,0.83,-0.1,362.0,4.18,0.7,50.1,33.5,2603.0,3.7,1.18,1.73,1
NNO Prime,14,DE,74,0.554,1.12,1902,58,1900-01-01 09:02:00,17.1,15.2,7.0,6.2,58.1,55.4,47.599999999999994,2.36,49.4,3.2,70.3,47.25,0.77,0.2,717.0,4.82,1.19,60.2,32.7,2715.0,3.3,1.02,1.44,3
NONAME,14,TR,66,0.697,1.17,1965,166,1900-01-01 07:11:00,19.2,16.3,7.7,4.7,40.9,74.2,47.599999999999994,2.5,56.7,3.6,50.0,47.25,0.88,0.4,1218.0,4.97,0.95,66.0,32.7,2662.0,2.5,0.71,1.13,3
Nongshim RedForce,14,KR,84,0.321,0.69,1758,-171,1900-01-01 08:13:00,10.0,14.5,4.6,7.1,47.6,33.3,47.599999999999994,1.89,40.9,2.6,32.1,47.25,0.73,-0.2,-1067.0,3.01,0.55,34.7,33.7,2233.0,3.7,1.45,1.69,1
Nord Esports,14,EUW,53,0.547,1.07,1864,13,1900-01-01 08:24:00,15.7,14.6,7.0,6.1,50.9,58.5,47.599999999999994,2.28,49.9,3.1,60.4,47.25,0.81,0.0,-41.0,4.17,0.83,51.1,32.8,2539.0,3.3,1.06,1.23,3
NRG,14,NA,44,0.364,0.79,1765,-126,1900-01-01 10:03:00,12.4,15.6,5.0,7.4,45.5,36.4,47.599999999999994,2.11,41.8,2.9,40.5,47.25,0.75,-0.3,-663.0,4.11,0.64,34.3,32.7,2399.0,3.6,1.14,1.54,2
NS Challengers,14,KR,102,0.49,0.93,1830,-16,1900-01-01 08:50:00,12.3,13.2,5.9,6.1,49.0,47.1,47.599999999999994,2.22,46.2,2.6,35.3,47.25,0.75,-0.1,-309.0,3.57,0.75,49.2,34.0,2365.0,3.5,1.31,1.8,1
Odivelas Sports Club,14,PT,28,0.214,0.68,1704,-224,1900-01-01 07:21:00,12.3,18.0,4.3,7.8,39.3,46.4,47.599999999999994,2.0,44.9,2.7,46.4,47.25,0.82,-0.2,-1329.0,3.0,0.43,31.4,30.5,2212.0,2.7,0.78,1.11,3
OGC Esports,14,CZ,32,0.375,0.94,1786,-74,1900-01-01 09:01:00,13.7,14.6,5.6,6.8,43.8,50.0,47.599999999999994,1.94,39.5,3.0,46.9,47.25,0.66,0.2,-271.0,3.38,0.59,41.4,31.6,2292.0,2.9,0.82,1.29,3
OK BRION,14,KR,82,0.195,0.62,1715,-247,1900-01-01 07:39:00,9.4,15.1,3.3,8.2,48.8,23.2,47.599999999999994,1.4,31.1,2.2,45.7,47.25,0.76,-0.3,-1277.0,2.56,0.39,27.7,33.5,2159.0,3.5,1.49,1.73,1
OMG,14,CN,78,0.449,0.93,1820,-52,1900-01-01 07:20:00,12.2,13.1,5.3,6.4,41.0,39.7,47.599999999999994,1.9,42.0,2.9,32.4,47.25,0.83,-0.1,-492.0,4.18,0.68,47.8,33.9,2328.0,3.8,1.39,1.74,1
Once Upon A Team,14,BE,28,0.214,0.56,1701,-302,1900-01-01 06:10:00,10.3,18.4,3.4,8.7,35.7,21.4,47.599999999999994,1.11,24.3,1.4,37.0,47.25,0.63,-0.5,-2022.0,2.67,0.36,20.8,31.6,2088.0,2.6,0.78,1.08,3
One More Esports,14,AL,28,0.214,0.66,1789,-208,1900-01-01 07:24:00,14.3,21.5,4.3,8.3,46.4,32.1,47.599999999999994,2.07,41.4,2.4,32.1,47.25,0.79,-0.2,-961.0,3.89,0.57,35.9,31.7,2526.0,2.8,0.8,1.16,3
Only Heroes Academia,14,TR,24,0.542,1.09,1910,77,1900-01-01 08:06:00,17.5,16.0,6.8,5.6,62.5,45.8,47.599999999999994,1.63,37.4,4.0,58.3,47.25,0.42,0.0,395.0,4.67,0.96,59.8,32.9,2661.0,2.6,0.86,1.02,3
Orbit Anonymo,14,PL,45,0.533,0.94,1855,-21,1900-01-01 06:54:00,15.4,16.2,6.2,6.2,55.6,40.0,47.599999999999994,2.16,45.9,2.3,36.4,47.25,0.84,0.0,-529.0,4.04,0.51,41.3,32.6,2430.0,3.0,0.73,1.25,3
Oxygen Gaming,14,ES,28,0.393,0.88,1830,-6,1900-01-01 10:09:00,15.0,16.9,6.7,6.3,53.6,53.6,47.599999999999994,2.61,52.6,3.0,30.8,47.25,0.79,0.3,1141.0,4.96,0.68,44.4,33.2,2616.0,2.9,0.9,1.31,3
paiN Academy,14,BR,72,0.736,1.5,1931,202,1900-01-01 08:16:00,17.8,11.8,7.8,4.4,51.4,56.9,47.599999999999994,2.69,61.2,2.7,59.7,47.25,1.17,0.1,848.0,3.92,0.93,75.1,32.8,2659.0,3.5,1.38,1.69,3
paiN Gaming,14,BR,81,0.63,1.22,1851,66,1900-01-01 08:58:00,15.6,12.7,6.5,5.4,71.6,64.2,47.599999999999994,2.81,58.9,2.4,38.4,47.25,1.02,0.0,503.0,4.79,0.94,64.3,32.8,2527.0,3.9,1.41,1.67,3
Papara SuperMassive,14,TR,73,0.589,1.1,1924,96,1900-01-01 08:10:00,16.5,15.0,7.0,5.5,42.5,49.3,47.599999999999994,2.11,49.2,3.7,67.1,47.25,0.67,0.1,898.0,4.47,0.85,56.4,34.1,2562.0,3.5,1.1,1.4,3
Parakeet Gaming,14,CZ,14,0.429,0.88,1856,-25,1900-01-01 06:19:00,13.3,15.1,6.5,6.6,57.1,28.6,47.599999999999994,1.86,46.3,2.8,28.6,47.25,0.86,-0.5,-805.0,3.43,0.64,46.4,33.7,2242.0,2.7,0.7,1.22,3
Partizan Esports,14,RS,47,0.447,1.07,1790,-29,1900-01-01 06:30:00,13.4,12.5,5.3,6.3,46.8,34.0,47.599999999999994,1.81,41.2,2.4,46.8,47.25,0.74,-0.1,-546.0,2.89,0.7,51.1,31.8,2330.0,2.5,0.81,1.19,3
PCIFIC Espor,14,TR,34,0.294,0.85,1756,-173,1900-01-01 07:48:00,14.5,17.0,4.4,8.0,50.0,41.2,47.599999999999994,2.03,42.7,2.7,33.3,47.25,1.03,-0.2,-969.0,2.85,0.59,33.9,31.2,2234.0,2.7,0.82,0.98,3
Phoenix Esports,14,TR,55,0.727,1.43,1949,204,1900-01-01 07:52:00,18.0,12.5,7.7,4.6,60.0,54.5,47.599999999999994,2.85,61.1,2.8,69.8,47.25,1.08,0.0,937.0,4.0,1.0,67.3,33.2,2672.0,2.9,0.92,1.21,3
PRINCIPALITY,14,ES,27,0.185,0.57,1672,-294,1900-01-01 07:01:00,10.5,18.4,3.6,8.7,40.7,29.6,47.599999999999994,2.22,48.4,1.9,29.6,47.25,1.19,-0.4,-1212.0,3.19,0.44,28.4,30.3,2279.0,2.7,0.84,1.18,3
Project Conquerors,14,FR,39,0.282,0.73,1763,-221,1900-01-01 06:57:00,15.0,20.5,3.9,8.2,41.0,28.2,47.599999999999994,1.82,39.9,2.0,36.8,47.25,0.92,-0.6,-1388.0,3.74,0.49,24.8,30.3,2444.0,2.9,0.93,1.25,3
PSG Talon,14,PCS,99,0.697,1.55,1946,210,1900-01-01 05:47:00,16.1,10.4,7.4,4.0,54.5,66.7,47.599999999999994,2.23,58.1,3.5,59.5,47.25,0.85,0.2,1896.0,4.45,0.77,68.4,34.2,2660.0,3.6,1.27,1.77,3
RA AD,14,AL,28,0.036,0.46,1648,-450,1900-01-01 02:58:00,9.0,19.4,2.0,9.7,50.0,21.4,47.599999999999994,1.11,30.8,1.5,21.4,47.25,0.79,-0.9,-3102.0,2.11,0.07,6.0,30.3,1798.0,2.7,0.78,1.05,3
Ramboot Club,14,ES,58,0.552,1.07,1873,51,1900-01-01 07:56:00,14.9,13.9,6.8,5.8,48.3,48.3,47.599999999999994,2.19,47.2,3.4,53.4,47.25,0.83,0.1,315.0,5.72,0.78,53.2,33.4,2427.0,3.5,1.3,1.59,3
Rare Atom,14,CN,82,0.39,0.93,1785,-98,1900-01-01 08:35:00,12.8,13.8,4.8,6.8,53.7,34.1,47.599999999999994,2.15,46.1,2.4,48.5,47.25,0.83,-0.1,-871.0,4.18,0.68,43.5,33.2,2256.0,3.6,1.3,1.59,1
Rebels Gaming,14,ES,36,0.25,0.62,1700,-242,1900-01-01 09:06:00,11.1,17.9,4.2,8.4,47.2,41.7,47.599999999999994,1.86,39.0,2.1,44.4,47.25,0.92,-0.3,-1047.0,3.03,0.36,21.3,31.3,2250.0,3.2,1.13,1.39,3
RED Academy,14,BR,34,0.441,0.99,1823,-17,1900-01-01 07:32:00,15.4,15.5,6.2,6.3,58.8,67.6,47.599999999999994,2.15,51.2,3.1,47.1,47.25,0.97,0.4,1249.0,5.21,0.59,40.9,31.5,2638.0,3.3,1.32,1.45,3
RED Canids,14,BR,64,0.609,1.29,1838,65,1900-01-01 10:31:00,15.6,12.1,7.5,5.7,53.1,54.7,47.599999999999994,2.83,57.4,2.8,56.3,47.25,1.0,0.0,258.0,4.16,0.84,51.7,32.3,2415.0,3.6,1.27,1.58,3
Rise Gaming,14,BR,23,0.565,1.02,1853,9,1900-01-01 10:54:00,14.4,14.1,6.4,6.5,52.2,52.2,47.599999999999994,2.43,46.7,2.7,30.4,47.25,0.78,0.0,-907.0,3.7,0.83,48.9,34.2,2335.0,3.5,1.28,1.66,3
Rogue,14,EUW,29,0.241,0.72,1739,-178,1900-01-01 09:10:00,9.7,13.4,4.6,8.6,41.4,44.8,47.599999999999994,1.72,35.3,2.4,55.2,47.25,0.69,-0.1,-505.0,4.03,0.38,24.1,33.1,2068.0,3.2,0.92,1.46,2
ROSSMANN Centaurs,14,DE,52,0.577,0.96,1940,19,1900-01-01 06:26:00,18.2,19.0,7.2,6.6,40.4,50.0,47.599999999999994,1.71,42.4,3.3,48.1,47.25,0.5,0.0,137.0,5.33,0.65,42.8,32.0,2737.0,2.7,0.75,1.03,3
Royal Never Give Up,14,CN,74,0.311,0.75,1776,-147,1900-01-01 09:23:00,10.9,14.7,5.0,7.4,43.2,35.1,47.599999999999994,2.22,47.3,2.5,32.3,47.25,0.83,-0.1,-1249.0,4.18,0.53,31.3,33.6,2178.0,3.7,1.25,1.75,1
Ruddy Esports,14,EUW,62,0.548,0.94,1903,32,1900-01-01 07:22:00,16.9,18.0,6.6,6.0,51.6,54.8,47.599999999999994,2.0,47.1,2.7,56.5,47.25,0.76,0.1,-21.0,4.35,0.95,63.4,32.8,2772.0,2.7,0.61,1.17,3
SAMCLAN Esports Club,14,PT,13,0.077,0.45,1669,-421,1900-01-01 04:47:00,10.2,22.5,2.8,9.8,23.1,23.1,47.599999999999994,1.46,32.8,2.1,15.4,47.25,0.46,-0.9,-3245.0,2.85,0.23,11.5,30.3,2209.0,2.3,0.41,0.89,3
SAW,14,PT,22,0.727,1.63,1926,203,1900-01-01 07:43:00,16.9,10.2,7.6,4.4,68.2,68.2,47.599999999999994,3.23,71.9,3.1,59.1,47.25,1.36,-0.1,1245.0,3.82,0.95,73.8,33.0,2392.0,3.3,1.09,1.27,3
Sengoku Gaming,14,JP,59,0.339,0.77,1796,-124,1900-01-01 07:21:00,12.8,16.7,5.7,7.3,45.8,50.8,47.599999999999994,1.9,43.1,2.7,49.2,47.25,0.75,-0.2,-403.0,3.81,0.54,34.3,32.3,2280.0,3.4,1.4,1.49,3
Shopify Rebellion,14,NA,30,0.3,0.9,1743,-152,1900-01-01 08:47:00,12.5,13.9,4.5,7.6,60.0,36.7,47.599999999999994,2.03,43.9,2.9,34.5,47.25,0.87,-0.1,-577.0,3.7,0.53,33.9,32.1,2315.0,3.5,1.22,1.57,2
Six Karma,14,LAT,50,0.18,0.66,1720,-250,1900-01-01 06:35:00,11.4,17.3,4.1,8.4,50.0,36.0,47.599999999999994,1.52,36.8,2.1,36.0,47.25,0.72,-0.1,-922.0,3.48,0.44,28.4,31.7,2189.0,3.6,1.33,1.43,3
SK Gaming,14,EUW,52,0.481,1.01,1826,-22,1900-01-01 07:54:00,13.5,13.3,6.2,6.3,50.0,53.8,47.599999999999994,2.25,48.2,3.0,65.4,47.25,0.88,0.1,138.0,4.33,0.81,46.1,32.7,2329.0,3.8,1.32,1.66,2
SK Gaming Prime,14,DE,74,0.581,1.26,1901,92,1900-01-01 08:56:00,16.4,12.9,7.1,5.8,48.6,50.0,47.599999999999994,2.76,59.8,2.5,41.1,47.25,1.01,0.1,691.0,5.31,0.85,56.8,33.9,2555.0,3.1,0.91,1.35,3
SNOOZE Esports,14,BE,33,0.394,0.87,1826,-39,1900-01-01 07:24:00,14.9,17.2,5.6,6.7,48.5,45.5,47.599999999999994,1.97,45.3,3.7,57.6,47.25,0.76,-0.1,-212.0,3.7,0.67,51.6,31.9,2700.0,2.8,0.79,1.02,3
SoftBank Hawks Gaming,14,JP,93,0.688,1.31,1934,163,1900-01-01 06:16:00,17.1,13.0,7.6,4.5,57.0,52.7,47.599999999999994,2.23,56.7,2.7,65.2,47.25,0.94,0.1,944.0,4.04,0.92,70.3,33.3,2825.0,3.5,1.22,1.6,3
Solary,14,FR,36,0.444,1.02,1831,-13,1900-01-01 10:22:00,14.6,14.1,6.2,6.8,47.2,33.3,47.599999999999994,2.17,41.5,2.7,44.4,47.25,0.53,-0.1,-249.0,3.19,0.94,52.3,32.5,2394.0,3.3,0.98,1.45,3
SPIKE Syndicate,14,RS,45,0.6,1.2,1859,50,1900-01-01 07:24:00,16.8,13.9,6.7,5.8,57.8,51.1,47.599999999999994,2.36,52.6,2.5,57.8,47.25,0.73,0.0,465.0,3.56,0.89,54.3,31.6,2542.0,2.8,0.63,1.12,3
Spinebusters E-Sport,14,DE,67,0.746,1.64,1979,201,1900-01-01 05:57:00,20.3,12.3,8.0,4.9,71.6,58.2,47.599999999999994,2.55,60.5,2.3,64.2,47.25,1.21,0.3,1457.0,5.79,1.03,72.4,31.9,2853.0,3.2,0.97,1.22,3
Stormbringers,14,ES,55,0.527,1.0,1823,-15,1900-01-01 08:20:00,14.3,14.2,6.3,6.4,69.1,47.3,47.599999999999994,2.25,49.3,2.5,45.3,47.25,1.05,0.0,-109.0,3.27,0.65,45.1,32.5,2513.0,3.0,0.93,1.25,3
Supernova,14,NA,64,0.578,1.06,1858,29,1900-01-01 07:42:00,16.3,15.4,6.6,5.3,45.3,59.4,47.599999999999994,2.48,54.2,3.1,52.4,47.25,0.94,0.2,198.0,4.81,0.78,53.0,32.3,2644.0,3.1,0.95,1.39,2
T1,14,KR,176,0.642,1.18,1908,134,1900-01-01 07:57:00,13.7,11.5,7.0,4.7,50.6,60.2,47.599999999999994,2.46,56.3,2.9,47.7,47.25,0.95,0.3,1017.0,5.7,0.9,65.4,34.6,2425.0,3.7,1.28,1.7,1
T1 Challengers,14,KR,104,0.442,0.98,1816,-44,1900-01-01 08:27:00,11.8,12.0,5.6,6.7,57.7,52.9,47.599999999999994,2.28,49.6,2.5,51.5,47.25,0.95,0.0,94.0,4.63,0.72,46.7,33.7,2248.0,3.4,1.18,1.72,1
Tani eSports,14,ES,17,0.471,1.02,1871,11,1900-01-01 09:29:00,16.9,16.4,6.4,7.1,58.8,52.9,47.599999999999994,2.24,47.3,2.5,47.1,47.25,0.71,-0.2,-523.0,4.12,0.82,49.0,32.1,2524.0,3.0,1.02,1.3,3
Team BDS,14,EUW,81,0.568,1.1,1873,49,1900-01-01 09:07:00,14.0,12.6,6.7,6.0,56.8,56.8,47.599999999999994,2.33,50.2,2.4,53.1,47.25,0.85,0.0,-69.0,4.15,0.95,57.5,34.0,2279.0,3.7,1.22,1.75,2
Team BDS Academy,14,FR,89,0.775,1.52,1992,239,1900-01-01 07:52:00,19.0,12.4,8.2,3.8,60.7,70.8,47.599999999999994,2.98,65.8,2.5,62.9,47.25,1.15,0.3,1254.0,4.51,1.01,70.4,34.4,2932.0,3.4,1.12,1.6,3
Team Bliss,14,OCE,60,0.65,1.24,1923,104,1900-01-01 05:47:00,16.8,13.6,6.7,5.2,55.0,51.7,47.599999999999994,2.4,59.3,3.4,65.0,47.25,1.13,0.1,702.0,4.82,0.77,56.9,33.2,2734.0,3.1,0.98,1.21,3
Team du Sud,14,FR,36,0.278,0.67,1758,-182,1900-01-01 10:44:00,12.2,18.2,5.1,8.1,36.1,30.6,47.599999999999994,2.33,43.3,3.1,52.8,47.25,0.89,-0.3,-1547.0,3.17,0.89,39.3,32.3,2275.0,3.2,1.01,1.43,3
Team ESCA Gaming,14,PL,14,0.071,0.52,1632,-357,1900-01-01 06:14:00,9.4,18.2,2.6,9.1,42.9,14.3,47.599999999999994,1.36,29.6,2.5,50.0,47.25,0.64,-0.7,-3031.0,2.14,0.14,12.1,30.3,2005.0,2.6,0.53,1.04,3
Team Flash,14,VN,62,0.355,0.91,1825,-62,1900-01-01 08:43:00,14.1,15.5,6.0,7.0,45.2,53.2,47.599999999999994,2.5,52.5,3.0,51.6,47.25,1.03,0.1,257.0,4.34,0.6,43.6,33.0,2461.0,3.8,1.45,1.79,3
Team GO,14,FR,78,0.538,1.08,1855,28,1900-01-01 09:29:00,13.9,12.8,6.6,6.4,48.7,57.7,47.599999999999994,2.31,47.9,2.7,44.9,47.25,0.88,0.1,555.0,4.41,0.86,51.0,34.1,2535.0,3.5,1.26,1.63,3
Team Heretics,14,EUW,45,0.4,0.95,1779,-62,1900-01-01 08:21:00,11.9,12.6,5.3,6.5,44.4,46.7,47.599999999999994,2.18,46.2,2.9,40.0,47.25,0.8,-0.1,-666.0,3.18,0.58,45.7,33.0,2079.0,3.7,1.07,1.73,2
Team Legion,14,GR,14,0.286,0.69,1711,-174,1900-01-01 08:06:00,11.9,17.0,4.5,7.6,50.0,21.4,47.599999999999994,1.71,37.0,3.3,50.0,47.25,0.57,-0.2,-776.0,3.29,0.43,28.6,30.4,2246.0,3.0,0.92,1.16,3
Team Liquid,14,NA,88,0.614,1.2,1863,94,1900-01-01 07:51:00,15.0,12.5,7.3,4.9,61.4,63.6,47.599999999999994,2.51,59.4,2.9,67.1,47.25,1.0,0.4,758.0,5.64,0.84,64.3,32.3,2604.0,3.5,1.28,1.73,2
Team Liquid Challengers,14,NA,62,0.419,1.06,1821,-18,1900-01-01 10:57:00,15.8,14.9,6.0,6.3,53.2,59.7,47.599999999999994,2.58,51.1,2.9,44.3,47.25,0.84,0.2,763.0,4.84,0.81,43.7,32.7,2658.0,3.6,1.26,1.39,2
Team Paradox,14,GR,14,0.429,0.66,1761,-231,1900-01-01 04:46:00,12.9,19.3,4.4,7.8,21.4,28.6,47.599999999999994,1.93,46.8,1.8,21.4,47.25,0.86,-0.5,-2214.0,2.86,0.71,39.3,31.1,2231.0,2.6,0.64,1.11,3
Team Phantasma,14,GR,63,0.683,1.25,1974,180,1900-01-01 06:38:00,19.2,15.3,7.7,4.4,47.6,68.3,47.599999999999994,2.11,53.9,3.0,59.0,47.25,0.78,0.5,1484.0,5.37,0.83,59.0,33.4,2798.0,3.3,1.1,1.36,3
Team Refuse,14,GR,40,0.425,0.93,1837,-63,1900-01-01 07:45:00,15.5,16.7,5.2,7.0,52.5,57.5,47.599999999999994,2.03,44.3,2.5,20.5,47.25,0.88,0.0,-426.0,3.85,0.55,37.3,32.9,2577.0,3.0,0.86,1.24,3
Team Secret,14,VN,71,0.62,1.18,1927,116,1900-01-01 08:30:00,16.2,13.6,6.9,5.3,62.0,63.4,47.599999999999994,2.77,59.0,2.9,50.7,47.25,1.13,0.3,1191.0,4.61,0.83,58.3,34.5,2578.0,3.8,1.36,1.81,3
Team UNiTY,14,CZ,50,0.52,0.95,1822,-36,1900-01-01 07:44:00,13.2,13.8,5.5,6.3,58.0,48.0,47.599999999999994,2.4,54.9,2.2,56.0,47.25,1.04,0.0,-260.0,3.3,0.68,46.7,33.1,2312.0,2.7,0.68,1.25,3
Team Vitality,14,EUW,46,0.435,0.84,1846,-39,1900-01-01 07:58:00,14.2,16.8,6.3,6.1,56.5,52.2,47.599999999999994,2.43,56.0,2.9,55.6,47.25,1.09,0.0,421.0,4.51,0.7,43.0,32.9,2472.0,3.4,1.17,1.75,2
Team WE,14,CN,79,0.468,0.81,1807,-36,1900-01-01 09:01:00,11.0,13.5,6.1,6.2,40.5,43.0,47.599999999999994,1.89,40.2,3.4,55.2,47.25,0.83,-0.1,-526.0,4.18,0.73,52.4,33.5,2375.0,3.8,1.26,1.89,1
Team Whales,14,VN,76,0.461,0.94,1832,-64,1900-01-01 08:09:00,13.7,14.6,5.6,6.4,53.9,38.2,47.599999999999994,2.05,43.2,2.8,52.6,47.25,0.78,-0.2,-367.0,4.01,0.61,44.4,33.6,2343.0,3.9,1.46,1.8,3
TeamOrangeGaming,14,DE,51,0.647,1.14,1959,126,1900-01-01 06:06:00,19.3,16.9,8.2,5.2,56.9,66.7,47.599999999999994,2.57,61.9,2.8,49.0,47.25,1.2,0.2,740.0,5.65,0.84,65.9,31.3,2959.0,3.0,0.88,1.13,3
Top Esports,14,CN,139,0.683,1.26,1934,158,1900-01-01 06:54:00,14.6,11.5,7.5,4.5,45.3,54.7,47.599999999999994,2.45,59.2,3.3,66.1,47.25,0.88,0.1,642.0,5.5,0.82,66.8,34.3,2632.0,3.4,1.13,1.81,1
Tropa Raizen,14,BR,31,0.355,0.79,1792,-91,1900-01-01 06:52:00,12.7,16.0,5.5,6.9,41.9,45.2,47.599999999999994,1.94,43.2,2.8,38.7,47.25,0.77,-0.1,-739.0,3.9,0.71,44.4,32.1,2183.0,3.1,1.16,1.39,3
TT,14,CN,77,0.481,1.0,1851,-7,1900-01-01 08:50:00,13.4,13.4,6.0,6.4,46.8,48.1,47.599999999999994,2.53,54.4,3.1,51.4,47.25,0.83,-0.1,154.0,4.18,0.78,51.6,34.2,2375.0,3.5,1.29,1.75,1
Twisted Minds,14,AL,43,0.558,1.31,1899,93,1900-01-01 07:24:00,18.0,13.7,7.0,5.5,67.4,55.8,47.599999999999994,2.56,56.8,2.9,52.4,47.25,1.09,0.0,508.0,4.79,0.7,53.3,32.2,2651.0,2.9,0.99,1.32,3
UCAM Tokiers,14,ES,55,0.527,0.95,1817,-20,1900-01-01 08:14:00,14.0,14.7,6.6,6.4,49.1,54.5,47.599999999999994,1.75,41.2,2.9,67.3,47.25,0.6,0.0,358.0,4.82,0.98,55.2,31.2,2444.0,3.5,1.14,1.4,3
Ultra Prime,14,CN,77,0.312,0.83,1791,-112,1900-01-01 08:39:00,11.0,13.2,4.9,7.4,44.2,45.5,47.599999999999994,1.96,42.9,3.3,48.6,47.25,0.83,-0.1,304.0,4.18,0.6,37.8,33.7,2198.0,3.8,1.26,1.87,1
Unicorns Of Love Sexy Edition,14,DE,69,0.623,1.31,1921,123,1900-01-01 08:22:00,16.0,12.2,7.4,5.3,49.3,59.4,47.599999999999994,2.38,54.5,3.1,44.1,47.25,1.0,0.3,773.0,5.48,0.75,53.8,34.5,2557.0,3.5,0.99,1.49,3
V3 Esports,14,JP,55,0.309,0.78,1765,-166,1900-01-01 07:09:00,13.0,16.7,4.6,7.7,45.5,27.3,47.599999999999994,1.73,37.9,2.3,43.6,47.25,0.67,-0.4,-987.0,3.91,0.53,37.7,31.4,2436.0,3.7,1.5,1.46,3
Veni Vidi Vici,14,ES,32,0.844,1.79,2021,312,1900-01-01 05:59:00,18.7,10.3,9.1,3.2,28.1,59.4,47.599999999999994,2.78,66.0,4.1,75.0,47.25,0.91,0.3,903.0,5.78,1.28,82.8,34.6,2916.0,2.8,0.81,1.25,3
Venomcrest Esports,14,EUW,53,0.547,1.05,1887,35,1900-01-01 06:37:00,15.7,14.8,6.5,6.0,43.4,49.1,47.599999999999994,2.21,51.4,2.8,54.7,47.25,0.91,0.1,241.0,4.6,0.7,54.1,33.2,2639.0,3.0,0.79,1.29,3
Venus,14,TR,35,0.086,0.48,1634,-435,1900-01-01 03:34:00,9.9,20.5,2.0,8.5,42.9,11.4,47.599999999999994,1.29,34.4,2.3,33.3,47.25,0.91,-0.7,-2561.0,2.35,0.09,9.1,30.2,2028.0,2.6,0.81,0.98,3
Verdant,14,EUW,28,0.393,0.8,1814,-103,1900-01-01 09:11:00,14.4,17.9,5.3,7.7,42.9,42.9,47.599999999999994,2.32,48.0,2.1,48.1,47.25,1.18,-0.1,-594.0,3.39,0.5,26.5,32.4,2474.0,3.0,0.94,1.26,3
Vikings Esports,14,VN,82,0.634,1.17,1955,144,1900-01-01 09:21:00,16.6,14.2,7.2,5.0,37.8,58.5,47.599999999999994,2.73,59.5,3.1,39.0,47.25,1.12,0.3,422.0,4.83,0.85,63.3,35.2,2798.0,4.1,1.22,2.01,3
Vitality.Bee,14,FR,78,0.603,1.19,1891,73,1900-01-01 07:15:00,15.7,13.2,6.6,5.5,47.4,52.6,47.599999999999994,2.32,53.3,2.7,51.3,47.25,0.95,0.1,237.0,4.35,0.79,59.1,33.3,2583.0,3.2,1.1,1.41,3
Vivo Keyd Stars,14,BR,71,0.634,1.16,1928,152,1900-01-01 08:05:00,16.4,14.1,7.4,5.0,46.5,59.2,47.599999999999994,2.56,57.6,2.6,55.1,47.25,1.03,0.1,545.0,4.89,0.8,57.7,33.7,2630.0,3.4,1.12,1.78,3
Vivo Keyd Stars Academy,14,BR,71,0.69,1.28,1891,135,1900-01-01 09:08:00,15.8,12.3,7.1,5.0,46.5,50.7,47.599999999999994,2.65,55.7,3.4,60.6,47.25,1.0,-0.1,276.0,3.62,0.86,58.0,33.9,2544.0,3.9,1.35,1.91,3
