Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Tier
GMBLERS Esports,15,IT,22,0.591,1.08,1860,42,1900-01-01 07:41:00,16.1,15.0,6.9,5.9,54.5,40.9,50.0,2.41,55.4,2.8,50.0,45.5,1.18,-0.2,-32.0,5.0,0.5,46.7,32.2,2693.0,2.7,0.8,1.04,3
GnG Amazigh,15,AL,29,0.414,0.91,1814,-33,1900-01-01 08:02:00,14.6,15.9,5.5,6.9,48.3,31.0,37.9,2.07,45.9,3.0,51.7,37.9,1.0,-0.3,-261.0,3.79,0.59,58.0,32.9,2629.0,2.6,0.61,1.11,3
GOAL,15,GR,5,0.6,1.13,1840,16,1900-01-01 07:38:00,17.2,15.2,5.8,5.8,60.0,40.0,60.0,2.4,47.7,3.4,20.0,60.0,0.8,0.2,489.0,5.0,0.4,33.3,32.0,2490.0,2.8,0.59,1.32,3
Ground Zero Gaming,15,TW,21,0.238,0.76,1763,-237,1900-01-01 05:58:00,16.4,21.5,4.0,8.0,42.9,28.6,28.6,1.62,40.6,2.0,42.9,42.9,0.62,-0.7,-1850.0,3.62,0.48,44.1,29.7,2565.0,3.0,1.1,1.16,3
Grow uP eSports,15,PT,3,0.333,0.81,1723,-248,1900-01-01 02:30:00,17.0,21.0,3.3,6.7,33.3,33.3,33.3,1.0,25.0,3.0,33.3,33.3,0.0,-2.3,-5516.0,1.0,0.33,50.0,27.6,2755.0,2.4,0.66,0.67,3
GTZ Esports,15,PT,13,0.538,0.9,1859,17,1900-01-01 08:57:00,16.2,17.8,6.2,6.5,15.4,53.8,46.2,2.46,48.4,2.2,38.5,46.2,0.62,-0.3,-286.0,4.38,0.69,54.2,31.9,2712.0,2.6,0.79,1.08,3
Guasones,15,ES,13,0.077,0.57,1636,-334,1900-01-01 05:59:00,9.6,17.0,2.5,9.0,53.8,23.1,7.7,1.62,37.7,1.8,15.4,7.7,1.0,-0.3,-1648.0,3.0,0.15,25.0,30.8,2381.0,2.8,0.97,1.19,3
Hanoi Rookies Esports,15,VN,12,0.333,0.89,1863,-137,1900-01-01 05:31:00,18.1,20.3,5.3,7.6,58.3,50.0,50.0,1.42,33.2,3.6,41.7,41.7,0.58,0.0,735.0,5.0,0.25,27.3,31.3,2678.0,3.1,1.31,1.42,3
Hanwha Life eSports,15,KR,73,0.671,1.35,1917,151,1900-01-01 07:58:00,17.2,12.6,7.2,4.2,52.1,67.1,47.9,2.53,58.6,3.2,53.4,50.7,0.79,0.2,636.0,4.52,0.73,70.2,33.9,2665.0,3.4,1.25,1.65,1
HELL PIGS,15,TW,25,0.32,0.72,1805,-184,1900-01-01 04:27:00,16.8,23.3,4.4,7.1,28.0,24.0,32.0,1.68,44.7,2.5,16.0,28.0,0.64,-0.5,-2431.0,3.68,0.24,36.7,30.8,2793.0,3.0,1.17,1.18,3
HLE Challengers,15,KR,27,0.296,0.86,1797,-91,1900-01-01 09:26:00,13.8,16.0,4.3,7.1,37.0,51.9,44.4,2.0,42.1,3.3,51.9,48.1,0.7,0.0,-88.0,4.37,0.48,44.0,33.5,2512.0,3.3,1.39,1.5,1
Hyper Vortex Esports,15,VN,14,0.786,1.41,1977,231,1900-01-01 09:26:00,19.6,13.9,8.2,3.9,57.1,71.4,64.3,2.64,57.3,3.1,42.9,57.1,0.86,0.0,1214.0,4.43,0.79,73.1,34.7,2975.0,3.5,1.21,1.63,3
Ici Japon Corp. Esport,15,FR,38,0.526,1.0,1845,15,1900-01-01 09:04:00,15.3,15.3,6.2,5.7,52.6,50.0,39.5,2.05,46.2,3.1,51.4,50.0,0.71,0.1,226.0,3.82,0.61,47.1,33.1,2698.0,3.5,1.28,1.43,3
